sample_id	group	species	population	read_files
PTN07	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN07_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN07_R2_001.fastq.gz
PTN08	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN08_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN08_R2_001.fastq.gz
S1	S	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S1_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S1_R2_001.fastq.gz
S2	S	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S2_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S2_R2_001.fastq.gz
S3	S	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S3_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S3_R2_001.fastq.gz
S4	S	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S4_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S4_R2_001.fastq.gz
S5	S	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S5_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S5_R2_001.fastq.gz
S6	S	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S6_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S6_R2_001.fastq.gz
S7	S	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S7_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S7_R2_001.fastq.gz
S8	S	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S8_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/S8_R2_001.fastq.gz
